sepalLength	sepalWidth	petalLength	petalWidth	species	percentage
0	11	1.4	0.2	setosa	1
1	50	1.4	0.2	setosa	2
2	100	1.3	0.2	setosa	3
3	90	4.7	1.4	versicolor	4
4	76	4.5	1.5	versicolor	5
5	54	4.9	1.5	versicolor	6
6	87	4.0	1.3	versicolor	7
7	45	4.6	1.5	versicolor	8
8	79	4.5	1.3	versicolor	9
9	2	6.0	2.5	virginica	10
10	67	5.1	1.9	virginica	11
11	87	5.9	2.1	virginica	12
0	11	1.4	0.2	setosa	13
1	50	1.4	0.2	setosa	14
2	100	1.3	0.2	setosa	15
3	90	4.7	1.4	versicolor	16
4	76	4.5	1.5	versicolor	17
5	54	4.9	1.5	versicolor	18
6	87	4.0	1.3	versicolor	19
7	45	4.6	1.5	versicolor	20
8	79	4.5	1.3	versicolor	21
9	2	6.0	2.5	virginica	22
10	67	5.1	1.9	virginica	23
11	87	5.9	2.1	virginica	24
